"date","datetime","time","open","high","low","close","volumefrom","volumeto"
2017-12-22,2017-12-22T00:00:00Z,1513900800,21590.63,22179.89,15976.78,19337.52,5171.16,98366411.86
2017-12-23,2017-12-23T00:00:00Z,1513987200,19310.84,21437.09,17641.89,20297.55,1172.27,23423433.65
2017-12-24,2017-12-24T00:00:00Z,1514073600,20297.55,20612.05,17814.47,18939.79,1642.82,30459377.21
2017-12-25,2017-12-25T00:00:00Z,1514160000,18879.71,19203.81,18070.71,18362.27,1116.67,20850882.8
2017-12-26,2017-12-26T00:00:00Z,1514246400,18384.62,23777.12,18319.34,21119.25,873.47,17535580.12
2017-12-27,2017-12-27T00:00:00Z,1514332800,21098.24,22454.89,19820.52,20841.3,965.85,20295481.05
2017-12-28,2017-12-28T00:00:00Z,1514419200,20922.47,20922.47,18772.99,19942.15,1298.8,25296094.81
2017-12-29,2017-12-29T00:00:00Z,1514505600,19646.5,20784.53,19204.69,19754.84,935.79,18595510.33
2017-12-30,2017-12-30T00:00:00Z,1514592000,19754.84,19849.28,17022.14,17119.49,1548.86,28169695.73
2017-12-31,2017-12-31T00:00:00Z,1514678400,17093.72,19348.64,17009.98,19050.74,615.44,11109927.86
2018-01-01,2018-01-01T00:00:00Z,1514764800,19060.4,19461.68,18121.11,18361.44,416.35,7738763.45
2018-01-02,2018-01-02T00:00:00Z,1514851200,18361.44,20363.05,18313.8,19826.75,748.64,14290127.97
2018-01-03,2018-01-03T00:00:00Z,1514937600,19826.75,21277.03,19798.76,21119.92,744.14,15373658.57
2018-01-04,2018-01-04T00:00:00Z,1515024000,21214.38,21850.88,19986.66,21145.63,930.36,19490102.69
2018-01-05,2018-01-05T00:00:00Z,1515110400,21019.23,23763.15,20774.61,22833.21,1701.14,37650316.92
2018-01-06,2018-01-06T00:00:00Z,1515196800,22833.21,23491.77,21990.14,22892.65,1069.09,23896103.68
2018-01-07,2018-01-07T00:00:00Z,1515283200,22844.09,23473.61,21379.81,22862.21,3203.37,70848367.68
2018-01-08,2018-01-08T00:00:00Z,1515369600,22862.21,23152.18,20465.4,21780.06,1414.26,30874112.21
2018-01-09,2018-01-09T00:00:00Z,1515456000,21780.06,22983.93,20316.07,20626.33,1198.92,25779542.72
2018-01-10,2018-01-10T00:00:00Z,1515542400,20634.05,21329.4,20175.93,20975.65,1145.57,23656538.97
2018-01-11,2018-01-11T00:00:00Z,1515628800,20963.35,21273.1,18321.84,18506.78,3383.62,65201677.39
2018-01-12,2018-01-12T00:00:00Z,1515715200,18506.78,20059.84,18369.02,19419.38,956.76,18438734
2018-01-13,2018-01-13T00:00:00Z,1515801600,19419.38,20240.41,19395.33,19849.98,446.91,8804812.44
2018-01-14,2018-01-14T00:00:00Z,1515888000,19849.88,19933.62,18603.81,19041.51,725.1,13749316.37
2018-01-15,2018-01-15T00:00:00Z,1515974400,19041.51,19835.73,18740.11,18751.38,592.03,11342884.21
2018-01-16,2018-01-16T00:00:00Z,1516060800,18751.42,18998.01,13237.5,14397.71,5615.61,88044917.33
2018-01-17,2018-01-17T00:00:00Z,1516147200,14397.71,15359.44,11756.65,14447.88,4948.62,66763250.79
2018-01-18,2018-01-18T00:00:00Z,1516233600,14445.14,16093.24,14200.91,14993.92,1537.26,23616802.39
2018-01-19,2018-01-19T00:00:00Z,1516320000,14990.35,15817.59,14600.75,15067.26,942.66,14008440.48
2018-01-20,2018-01-20T00:00:00Z,1516406400,15091.3,17459.65,15091.3,17144.46,663.08,10875342.69
2018-01-21,2018-01-21T00:00:00Z,1516492800,17137.62,17137.62,14796.78,15148.37,567.91,8951176.22
